ut,作者,题名,刊名,年,卷,期,issn,页码,单位,论文类型,影响因子,大类分区,二级单位,作者,备注
WOS:000360170500001,"Cui, Wei; Wu, Chengdong; Zhang, Yunzhou; Li, Bing; Fu, Wenyan",Indoor Robot Localization Based on Multidimensional Scaling,INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS,2015,,,1550-1329,-,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,吴成东,
WOS:000356747700019,"Cui, Yang; Zhang, Huaguang; Wang, Yingchun; Zhang, Zhao",Adaptive neural dynamic surface control for a class of uncertain nonlinear systems with disturbances,NEUROCOMPUTING,2015,165,,0925-2312,152-158,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,2,信息学院,张化光,
WOS:000356125200003,"Ding, Sanbo; Wang, Zhanshan",Stochastic exponential synchronization control of memristive neural networks with multiple time-varying delays,NEUROCOMPUTING,2015,162,,0925-2312,16-25,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,2,信息学院,王占山,
WOS:000352279600013,"Dong, Jiuxiang; Yang, Guang-Hong",Reliable State Feedback Control of T-S Fuzzy Systems With Sensor Faults,IEEE TRANSACTIONS ON FUZZY SYSTEMS,2015,23,2,1063-6706,421-433,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,1,信息学院,董久祥,
WOS:000359262400008,"Dong, Jiuxiang; Yang, Guang-Hong; Zhang, Huaguang",Stability Analysis of T-S Fuzzy Control Systems by Using Set Theory,IEEE TRANSACTIONS ON FUZZY SYSTEMS,2015,23,4,1063-6706,827-841,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,1,信息学院,董久祥,
WOS:000353871600011,"Fan, Quan-Yong; Yang, Guang-Hong; Ye, Dan",Adaptive tracking control for a class of Markovian jump systems with time-varying delay and actuator faults,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,2015,352,5,0016-0032,1979-2001,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,,2,信息学院,杨光红,
WOS:000346542300018,"Feng, Jian; Han, Kezhen",Robust full- and reduced-order energy-to-peak filtering for discrete-time uncertain linear systems,SIGNAL PROCESSING,2015,108,,0165-1684,183-194,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,2,信息学院,冯健,
WOS:000366590800013,"Feng, Lin; Mao, Zhizhong; Yuan, Ping; Zhang, Bi",Multi-objective particle swarm optimization with preference information and its application in electric arc furnace steelmaking process,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,2015,52,5,1615-147X,1013-1022,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,3,信息学院,冯琳,
WOS:000367819300008,"Feng, Tao; Zhang, Huaguang; Luo, Yanhong; Liang, Hongjing",Consensus rate regulation for general linear multi-agent systems under directed topology,APPLIED MATHEMATICS AND COMPUTATION,2015,271,,0096-3003,845-859,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, LN, Peoples R China",Article,,2,信息学院,张化光,
WOS:000356105100035,"Feng, Tao; Zhang, Huaguang; Luo, Yanhong; Zhang, Jilie",Stability analysis of heuristic dynamic programming algorithm for nonlinear systems,NEUROCOMPUTING,2015,149,,0925-2312,1461-1468,"Northeastern Univ, Informat Sci & Engn, Shenyang 110004, Liaoning, Peoples R China",Article,,2,信息学院,张化光,
WOS:000362883000001,"Gao, Liang; Wang, Gang; Liu, Jinhai",Image denoising based on edge detection and prethresholding Wiener filtering of multi-wavelets fusion,INTERNATIONAL JOURNAL OF WAVELETS MULTIRESOLUTION AND INFORMATION##PROCESSING,2015,13,5,0219-6913,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,汪刚,
WOS:000361821100005,"Gao, Qiang; Xu, Xinhe",Research on the Computational Complexity of n x n Chinese Chess,ICGA JOURNAL,2015,38,1,1389-6911,47-53,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,4,信息学院,徐心和,
WOS:000353894600011,"Gao, Zhen",A planning model for multiple blending schemes,CHINESE JOURNAL OF CHEMICAL ENGINEERING,2015,23,4,1004-9541,675-680,"Northeastern Univ, Inst Ind Engn & Logist Optimizat, Shenyang 110819, Peoples R China",Article,,4,信息学院,高振,
WOS:000358913100001,"Gong, Jun; Yu, Miao; Tang, Jiafu; Li, Manru",Staffing to Maximize Profit for Call Centers with Impatient and Repeat-Calling Customers,MATHEMATICAL PROBLEMS IN ENGINEERING,2015,,,1024-123X,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,宫俊,
WOS:000359170300045,"Guan, Shouping",Modeling and optimization of the glutamic acid fermentation process using computational intelligence techniques,NEUROCOMPUTING,2015,169,,0925-2312,403-411,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article; Proceedings,,2,信息学院,关守平,
WOS:000364485000004,"Guo, Qiang; Wu, Chengdong; Feng, Yu; Lu, Xiaohong",Conjugate gradient algorithm for efficient covariance tracking with Jensen-Bregman LogDet metric,IET COMPUTER VISION,2015,9,6,1751-9632,814-820,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,4,信息学院,吴成东,
WOS:000350648100015,"Guo, Qingxin; Tang, Lixin",An improved scatter search algorithm for the single machine total weighted tardiness scheduling problem with sequence-dependent setup times,APPLIED SOFT COMPUTING,2015,29,,1568-4946,184-195,"Northeastern Univ, Inst Ind Engn & Logist Optimizat, Shenyang 110819, Peoples R China",Article,,2,信息学院,郭庆新,
WOS:000366534900012,"Han, Jian; Zhang, Huaguang; Wang, Yingchun; Liu, Yang",Disturbance observer based fault estimation and dynamic output feedback fault tolerant control for fuzzy systems with local nonlinear models,ISA TRANSACTIONS,2015,59,,0019-0578,114-124,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,2,信息学院,张化光,
WOS:000352171800012,"Han, Kezhen; Feng, Jian",Improved scalar parameters approach to design robust H-infinity filter for uncertain discrete-time linear systems,SIGNAL PROCESSING,2015,113,,0165-1684,113-123,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,2,信息学院,冯健,
WOS:000348147400005,"Han, Kezhen; Feng, Jian; Chang, Xiaoheng",Reduced-Order Partially Mode-Dependent Energy-to-Peak Filter Design for Discrete-Time Markov Jump Systems Subject to Quantizer Faults and State-Dependent Noises,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,2015,34,1,0278-081X,77-103,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,冯健,
WOS:000359860600013,"Hao, Li-Ying; Yang, Guang-Hong",Robust adaptive fault-tolerant control of uncertain linear systems via sliding-mode output feedback,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,2015,25,14,1049-8923,2461-2480,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,2,信息学院,杨光红,
WOS:000349185600012,"Hu, Hai-Feng; Deng, Ze-Qun; Zhao, Yong; Li, Jin; Wang, Qi",Sensing Properties of Long Period Fiber Grating Coated by Silver Film,IEEE PHOTONICS TECHNOLOGY LETTERS,2015,27,1,1041-1135,46-49,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,3,信息学院,胡海峰,
WOS:000354157600011,"Hu, Sheng; Zhao, Yong; Qian, Xiao-long",Dielectrophoretic behavior of a single cell when manipulated by optoelectronic tweezers: A study based on COMSOL ALE simulations,JOURNAL OF ELECTROSTATICS,2015,75,,0304-3886,72-76,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,胡晟秦皇岛分校,
WOS:000364604300091,"Hu, Sheng; Zhao, Yong; Wang, Qi",Design and simulation of the angle-ended fiber integrated into optoelectronic tweezers chip,OPTIK,2015,126,21,0030-4026,3240-3244,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,胡晟秦皇岛分校,
WOS:000362615000015,"Hu, Sheng; Zhao, Yong; Yang, Yang",Modeling of cellular pearl chain formation using a double photoconductive layer biochip,JOURNAL OF ELECTROSTATICS,2015,77,,0304-3886,110-115,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,胡晟秦皇岛分校,
WOS:000343840000037,"Huang, Bonan; Zhang, Huaguang; Gong, Dawei; Wang, Junyi",Synchronization analysis for static neural networks with hybrid couplings and time delays,NEUROCOMPUTING,2015,148,,0925-2312,288-293,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,2,信息学院,黄博南,
WOS:000364249800008,"Huang, Min; Ren, Liang; Lee, Loo Hay; Wang, Xingwei",4PL routing optimization under emergency conditions,KNOWLEDGE-BASED SYSTEMS,2015,89,,0950-7051,126-133,"Northeastern Univ, State Key Lab Synthet Automat Proc Ind, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,2,信息学院,黄敏,
WOS:000349062500008,"Jia, Runda; Mao, Zhizhong; Wang, Fuli; He, Dakuo",Batch-to-batch optimization of cobalt oxalate synthesis process using modifier-adaptation strategy with latent variable model,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,2015,140,,0169-7439,73-85,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,2,信息学院,贾润达,
WOS:000350194500012,"Jia, Runda; Mao, Zhizhong; Wang, Fuli; He, Dakuo",Self-tuning final product quality control of batch processes using kernel latent variable model,CHEMICAL ENGINEERING RESEARCH & DESIGN,2015,94,,0263-8762,119-130,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,2,信息学院,贾润达,
WOS:000368564700060,"Jia, T.; Zhang, H.; Bai, Y. K.",Benign and Malignant Lung Nodule Classification Based on Deep Learning Feature,JOURNAL OF MEDICAL IMAGING AND HEALTH INFORMATICS,2015,5,8,2156-7018,1936-1940,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,4,信息学院,贾同,
WOS:000346225300042,"Jia, Tong; Shi, Yan; Zhou, ZhongXuan; Chen, DongYue",3D depth information extraction with omni-directional camera,INFORMATION PROCESSING LETTERS,2015,115,2,0020-0190,285-291,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,贾同,
WOS:000365686400118,"Jia, Zixi; Wu, Chengdong; Li, Zhao; Zhang, Yunzhou; Guan, Bo",The Indoor Localization and Tracking Estimation Method of Mobile Targets in Three-Dimensional Wireless Sensor Networks,SENSORS,2015,15,11,1424-8220,29661-29684,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,3,信息学院,贾子熙,
WOS:000361486200006,"Jiang, Guanjie; Huang, Min; Xu, Chunhui; Wang, Xingwei",GA-SA/CPM/Markov based dynamic risk-management planning for virtual enterprises,JOURNAL OF INTELLIGENT MANUFACTURING,2015,26,5,0956-5515,899-910,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,3,信息学院,黄敏,
WOS:000366822000001,"Jiang, He; Yang, Dongsheng",Output Consensus Regulation for State-Unmeasurable Discrete-Time Multiagent Systems with External Disturbances,MATHEMATICAL PROBLEMS IN ENGINEERING,2015,,,1024-123X,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,杨东升,
WOS:000355819200001,"Jiang, Nan; Liu, Ting; He, Haiyan; Li, Xin",Coordinated Switching Control of the Excitation and Steam Valve System Based on State and Input Constraints,MATHEMATICAL PROBLEMS IN ENGINEERING,2015,,,1024-123X,-,"Northeast Univ, Fac Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,4,信息学院,姜囡,
WOS:000351052900011,"Jiang, Yulian; Liu, Jianchang; Wang, Shenquan",Cooperative output feedback tracking control for multi-agent consensus with time-varying delays and switching topology,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,2015,37,4,0142-3312,550-559,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,4,信息学院,刘建昌,
WOS:000355242700028,"Kang, Hao-Bo; Wang, Jian-Hui",Adaptive Robust Control of 5 DOF Upper-limb Exoskeleton Robot,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,2015,13,3,1598-6446,733-741,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,4,信息学院,王建辉,
WOS:000362147100014,"Kong, Xiangyong; Gao, Liqun; Ouyang, Haibin; Li, Steven",Solving the redundancy allocation problem with multiple strategy choices using a new simplified particle swarm optimization,RELIABILITY ENGINEERING & SYSTEM SAFETY,2015,144,,0951-8320,147-158,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,2,信息学院,高立群,
WOS:000353746900025,"Kong, Xiangyong; Gao, Liqun; Ouyang, Haibin; Li, Steven",A simplified binary harmony search algorithm for large scale 0-1 knapsack problems,EXPERT SYSTEMS WITH APPLICATIONS,2015,42,12,0957-4174,5337-5355,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,2,信息学院,高立群,
WOS:000358268000002,"Kong, Xiangyong; Gao, Liqun; Ouyang, Haibin; Li, Steven",Solving large-scale multidimensional knapsack problems with a new binary harmony search algorithm,COMPUTERS & OPERATIONS RESEARCH,2015,63,,0305-0548,7-22,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,3,信息学院,高立群,
WOS:000349979300049,"Li, Erpeng; Long, Lijun; Zhao, Jun",Global output-feedback stabilization for a class of switched uncertain nonlinear systems,APPLIED MATHEMATICS AND COMPUTATION,2015,256,,0096-3003,551-564,"Northeastern Univ, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,,2,信息学院,龙离军,
WOS:000348796700001,"Li, Hong-Ru; Jiang, Zhi-Bin; Kang, Nan",Sliding Mode Disturbance Observer-Based Fractional Second-Order Nonsingular Terminal Sliding Mode Control for PMSM Position Regulation System,MATHEMATICAL PROBLEMS IN ENGINEERING,2015,,,1024-123X,-,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,李鸿儒,
WOS:000347614500007,"Li, Jiao; Zhao, Jun",H-infinity output tracking control for discrete-time switched systems via output feedback,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,2015,25,3,1049-8923,430-442,"Northeastern Univ, Coll Informat Sci & Engn, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,,2,信息学院,赵军,
WOS:000355920700010,"Li, Jin; Duan, Yunna; Hu, Haifeng; Zhao, Yong; Wang, Qi","Flexible NWs sensors in polymer, metal oxide and semiconductor materials for chemical and biological detection",SENSORS AND ACTUATORS B-CHEMICAL,2015,219,,0925-4005,65-82,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,1,信息学院,李晋,
WOS:000349728400014,"Li, Jin; Li, Hanyang; Hu, Haifeng; Zhao, Yong; Wang, Qi",Preparation and spectral characteristics of silver nano-sphere doped quartz micro-fiber,OPTICS AND LASER TECHNOLOGY,2015,68,,0030-3992,79-83,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,3,信息学院,李晋,
WOS:000348891700008,"Li, Jin; Li, Hanyang; Hu, Haifeng; Zhao, Yong; Wang, Qi",Preparation and application of polymer nano-fiber doped with nano-particles,OPTICAL MATERIALS,2015,40,,0925-3467,49-56,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,3,信息学院,李晋,
WOS:000346694800010,"Li, Jin; Zhao, Yong; Hu, Haifeng; Wang, Qi; Zhang, Jing",SPR based hollow prism used as refractive index sensor,OPTIK,2015,126,2,0030-4026,199-201,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,李晋,
WOS:000351320200011,"Li, Ning; Feng, Jian",The design of reliable adaptive controllers for time-varying delayed systems based on improved H-infinity performance indexes,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,2015,352,3,0016-0032,930-951,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,,2,信息学院,冯健 ,
WOS:000366288100020,"Li, Shuo; Chen, Du-Xing; Fang, Jin",Transport ac losses of a second-generation HTS tape with a ferromagnetic substrate and conducting stabilizer,SUPERCONDUCTOR SCIENCE & TECHNOLOGY,2015,28,12,0953-2048,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,2,信息学院,李硕,
WOS:000355050200002,"Li, Xiao-Jian; Yang, Guang-Hong",Adaptive H-infinity control in finite frequency domain for uncertain linear systems,INFORMATION SCIENCES,2015,314,,0020-0255,14-27,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Liaoning, Peoples R China",Article,,2,信息学院,李霄剑,
WOS:000366723600015,"Li, Xiao-Jian; Yang, Guang-Hong",Fault detection in finite frequency domains for multi-delay uncertain systems with application to ground vehicle,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,2015,25,18,1049-8923,3780-3798,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Liaoning, Peoples R China",Article,,2,信息学院,李霄剑,
WOS:000364677300001,"Li, Yan; Wang, Jin-kuan; Han, Peng; Han, Ying-hua",Geometric-Process-Based Battery Management Optimizing Policy for the Electric Bus,MATHEMATICAL PROBLEMS IN ENGINEERING,2015,,,1024-123X,-,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,汪晋宽,
WOS:000355919700031,"Li, Yuan-Xin; Yang, Guang-Hong",Robust fuzzy adaptive fault-tolerant control for a class of nonlinear systems with mismatched uncertainties and actuator faults,NONLINEAR DYNAMICS,2015,81,1-2,0924-090X,395-409,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,2,信息学院,杨光红,
WOS:000362644500032,"Li, Yu-Shuai; Ma, Da-Zhong; Zhang, Hua-Guang; Sun, Qiu-Ye",Critical Nodes Identification of Power Systems Based on Controllability of Complex Networks,APPLIED SCIENCES-BASEL,2015,5,3,2076-3417,622-636,"Northeastern Univ, Dept Elect Engn, Shenyang 110819, Peoples R China",Article,,3,信息学院,马大中,
WOS:000366534900008,"Liang, Hongjing; Zhang, Huaguang; Wang, Zhanshan",Distributed-observer-based cooperative control for synchronization of linear discrete-time multi-agent systems,ISA TRANSACTIONS,2015,59,,0019-0578,72-78,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,,2,信息学院,张化光,
WOS:000356125200005,"Liang, Hongjing; Zhang, Huaguang; Wang, Zhanshan; Wang, Junyi",Cooperative robust output regulation for heterogeneous second-order discrete-time multi-agent systems,NEUROCOMPUTING,2015,162,,0925-2312,41-47,"Northeastern Univ, Coll Informat Sci & Engn, Ln Shenyang 110819, Peoples R China",Article,,2,信息学院,张化光,
WOS:000352217700014,Liu ZhenWei; Zhang HuaGuang; Sun QiuYe,Static output feedback stabilization for systems with time-varying delay based on a matrix transformation method,SCIENCE CHINA-INFORMATION SCIENCES,2015,58,1,1674-733X,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,刘振伟,
WOS:000355923900025,"Liu, Honglei; Zhang, Yunzhou; Liu, Huiyu; Su, Xiaolin",Inhomogeneous Distribution Strategy Based on Mobile Sink Nodes in Wireless Sensor Networks,WIRELESS PERSONAL COMMUNICATIONS,2015,83,1,0929-6212,411-426,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,张云洲,
WOS:000360484000001,"Liu, Huiyu; Zhang, Yunzhou; Su, Xiaolin; Li, Xintong; Xu, Ning",Mobile Localization Based on Received Signal Strength and Pearson's Correlation Coefficient,INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS,2015,,,1550-1329,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,张云洲,
WOS:000366233700011,"Liu, Jianchang; Wang, Honghai; Zhang, Yu",New result on PID controller design of LTI systems via dominant eigenvalue assignment,AUTOMATICA,2015,62,,0005-1098,93-97,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,2,信息学院,刘建昌,
WOS:000349572600022,"Liu, Lei; Wang, Zhanshan; Zhang, Huaguang",Adaptive NN fault-tolerant control for discrete-time systems in triangular forms with actuator fault,NEUROCOMPUTING,2015,152,,0925-2312,209-221,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,2,信息学院,王占山,
WOS:000352678200022,"Liu, Lu; Pan, Feng; Xue, Dingyu",Variable-order fuzzy fractional PID controller,ISA TRANSACTIONS,2015,55,,0019-0578,227-233,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,2,信息学院,潘峰,
WOS:000355439800001,"Liu, Lu; Pan, Feng; Xue, Dingyu",Fractional-Order Controller Design for Oscillatory Fractional Time-Delay Systems Based on the Numerical Inverse Laplace Transform Algorithms,MATHEMATICAL PROBLEMS IN ENGINEERING,2015,,,1024-123X,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,4,信息学院,潘峰,
WOS:000367487200006,"Liu, Tan; Gao, Xianwen; Wang, Lina",Multi-objective optimization method using an improved NSGA-II algorithm for oil-gas production process,JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS,2015,57,,1876-1070,42-53,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,,2,信息学院,高宪文,
WOS:000361772400010,"Liu, Yan; Wang, Fuli; Chang, Yuqing; Ma, Ruicheng",Operating optimality assessment and nonoptimal cause identification for non-Gaussian multimode processes with transitions,CHEMICAL ENGINEERING SCIENCE,2015,137,,0009-2509,106-118,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,2,信息学院,刘炎,
WOS:000355034200009,"Liu, Yan; Wang, Fuli; Chang, Yuqing; Ma, Ruicheng",Comprehensive economic index prediction based operating optimality assessment and nonoptimal cause identification for multimode processes,CHEMICAL ENGINEERING RESEARCH & DESIGN,2015,97,,0263-8762,77-90,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,,2,信息学院,刘炎,
WOS:000353092100027,"Long, Lijun; Wang, Zhuo; Zhao, Jun",Switched adaptive control of switched nonlinearly parameterized systems with unstable subsystems,AUTOMATICA,2015,54,,0005-1098,217-228,"Northeastern Univ, Coll Informat Sci & Engn, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,,2,信息学院,龙离军,
WOS:000362582800035,"Long, Lijun; Zhao, Jun",Decentralized Adaptive Fuzzy Output-Feedback Control of Switched Large-Scale Nonlinear Systems,IEEE TRANSACTIONS ON FUZZY SYSTEMS,2015,23,5,1063-6706,1844-1860,"Northeastern Univ, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,,1,信息学院,龙离军,
WOS:000356506700001,"Long, Lijun; Zhao, Jun",Adaptive Output-Feedback Neural Control of Switched Uncertain Nonlinear Systems With Average Dwell Time,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,2015,26,7,2162-237X,1350-1362,"Northeastern Univ, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,,1,信息学院,龙离军,
WOS:000354881000003,"Long, Lijun; Zhao, Jun",Adaptive fuzzy tracking control of switched uncertain nonlinear systems with unstable subsystems,FUZZY SETS AND SYSTEMS,2015,273,,0165-0114,49-67,"Northeastern Univ, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,,2,信息学院,龙离军,
WOS:000350751400004,"Long, Lijun; Zhao, Jun",Switched adaptive stabilization of switched nonlinearly parameterized cascade systems and its application to a two inverted pendulums,INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,2015,29,3,0890-6327,346-361,"Northeastern Univ, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,,3,信息学院,龙离军,
WOS:000347614500008,"Long, Yue; Yang, Guang-Hong",Fault detection filter design for stochastic networked control systems,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,2015,25,3,1049-8923,443-460,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,,2,信息学院,杨光红,
WOS:000351162300003,"Long, Yue; Yang, Guang-Hong",Robust fault detection for networked control systems with packet dropouts: An average dwell time method,OPTIMAL CONTROL APPLICATIONS & METHODS,2015,36,2,0143-2087,179-197,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,,4,信息学院,杨光红,
WOS:000355214600002,"Lu, Meng",Fiber tracking of brain white matter based on graph theory,TECHNOLOGY AND HEALTH CARE,2015,23,,0928-7329,S3-S8,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Liaoning, Peoples R China",Article,,4,信息学院,孟琭,
WOS:000361671800112,"Lu, Meng",Brain white matter fiber estimation and tractography using Q-ball imaging and Bayesian MODEL,BIO-MEDICAL MATERIALS AND ENGINEERING,2015,26,,0959-2989,S991-S1000,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,,4,信息学院,孟琭,
WOS:000368564700019,"Lu, Meng",Brain White Matter Fiber Tracking Reconstruction Algorithm Based on Bayesian Model,JOURNAL OF MEDICAL IMAGING AND HEALTH INFORMATICS,2015,5,8,2156-7018,1703-1707,"Northeastern Univ, Coll Informat Sci & Engn, Beijing 110819, Peoples R China",Article,,4,信息学院,孟琭,
WOS:000368564700002,"Lu, Meng; Xiang, Jing",Brain High Frequency Signal Detection and Localization Based on MEG,JOURNAL OF MEDICAL IMAGING AND HEALTH INFORMATICS,2015,5,8,2156-7018,1588-1591,"Northeastern Univ, Coll Informat Sci & Engn, Beijing, Peoples R China",Article,,4,信息学院,孟琭,
WOS:000357974700033,"Luo, Jinming; Zhao, Jun",Robust Control for a Class of Uncertain Switched Fuzzy Systems with Saturating Actuators,ASIAN JOURNAL OF CONTROL,2015,17,4,1561-8625,1462-1469,"Northeastern Univ, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,,3,信息学院,赵军,
WOS:000348996100015,"Luo, Jinming; Zhao, Jun",Robust H-infinity Control for Networked Switched Fuzzy Systems with Network-Induced Delays and Packet Dropout,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,2015,34,2,0278-081X,663-679,"Northeastern Univ, Coll Informat Sci & Engn, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,,4,信息学院,赵军,
